event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:altitude,argos:best-level,argos:calcul-freq,argos:error-radius,argos:gdop,argos:iq,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,argos:nb-mes,argos:nb-mes-120,argos:nopc,argos:orientation,argos:pass-duration,argos:semi-major,argos:semi-minor,argos:sensor-1,argos:sensor-2,argos:sensor-3,argos:sensor-4,argos:valid-location-algorithm,external-temperature,gps:fix-type-raw,height-above-ellipsoid,import-marked-outlier,lotek:crc-status,lotek:crc-status-text,mortality-status,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone,study-timezone,study-local-timestamp
23608530581,FALSE,43:44.0,186.976883,0.1096064,,,,,,,,,,,,,,,,,,,,,,,,,,3D,13431,TRUE,E,Fail,,,gps,,236445,,Red Knot Fall MA Migration Study,274831.0297,12122.40784,2N,Greenwich Mean Time,43:44.0
23569555716,FALSE,15:12.0,-170.381073,137.425629,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-1000,TRUE,E,Fail,,,gps,,236445,,Red Knot Fall MA Migration Study,449205.3866,1.53E+07,2N,Greenwich Mean Time,15:12.0
23672765108,FALSE,07:28.0,58.9831314,1.99261439,,,,,,,,,,,,,,,,,,,,,,,,,,2D,-286,TRUE,E,Fail,,,gps,,236445,,Red Knot Fall MA Migration Study,720584.5661,220377.4277,40N,Greenwich Mean Time,07:28.0
23612557126,FALSE,59:12.0,-60.102005,8.60130596,,,,,,,,,,,,,,,,,,,,,,,,,,2D,-321,TRUE,E,Fail,,,gps,,236445,,Red Knot Fall MA Migration Study,819002.1157,951981.4742,20N,Greenwich Mean Time,59:12.0
23617143165,FALSE,20:16.0,-60.0206718,9.01663971,,,,,,,,,,,,,,,,,,,,,,,,,,3D,4084,TRUE,E,Fail,,,gps,,236445,,Red Knot Fall MA Migration Study,827596.2163,998027.5705,20N,Greenwich Mean Time,20:16.0
23541767061,TRUE,02:08.0,-69.9702148,41.6461182,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-21,FALSE,G,OK,,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,419205.0077,4610940.955,19N,Greenwich Mean Time,02:08.0
23545208232,TRUE,02:08.0,-69.9702148,41.6461182,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-21,FALSE,C,OK(corrected),,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,419205.0077,4610940.955,19N,Greenwich Mean Time,02:08.0
23541767062,TRUE,00:48.0,-69.9717484,41.6425362,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-26,FALSE,G,OK,,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,419072.8127,4610544.706,19N,Greenwich Mean Time,00:48.0
23545208233,TRUE,00:48.0,-69.9717484,41.6425362,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-26,FALSE,C,OK(corrected),,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,419072.8127,4610544.706,19N,Greenwich Mean Time,00:48.0
23541767063,TRUE,59:28.0,-69.9703674,41.6461182,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-26,FALSE,G,OK,,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,419192.2997,4610941.098,19N,Greenwich Mean Time,59:28.0
23541767064,TRUE,02:24.0,-69.9769745,41.6448402,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-20,FALSE,G,OK,,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,418640.4768,4610805.423,19N,Greenwich Mean Time,02:24.0
23548115323,TRUE,01:04.0,-69.9734116,41.6456566,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-19,FALSE,G,OK,,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,418938.2113,4610892.707,19N,Greenwich Mean Time,01:04.0
23548115324,TRUE,59:44.0,-69.9691925,41.645195,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-22,FALSE,G,OK,,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,419288.9888,4610837.5,19N,Greenwich Mean Time,59:44.0
23548115325,TRUE,02:40.0,-69.9713669,41.6422539,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-25,FALSE,G,OK,,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,419104.2312,4610513.006,19N,Greenwich Mean Time,02:40.0
23548115326,TRUE,01:20.0,-69.9691925,41.6454277,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-26,FALSE,G,OK,,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,419289.2792,4610863.335,19N,Greenwich Mean Time,01:20.0
23556089464,TRUE,00:00.0,-69.9771042,41.6437874,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-23,FALSE,G,OK,,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,418628.3509,4610688.66,19N,Greenwich Mean Time,00:00.0
23556089465,TRUE,02:56.0,-69.97052,41.6461182,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-18,FALSE,G,OK,,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,419179.5917,4610941.241,19N,Greenwich Mean Time,02:56.0
23566979285,TRUE,02:56.0,-69.97052,41.6461182,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-18,FALSE,C,OK(corrected),,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,419179.5917,4610941.241,19N,Greenwich Mean Time,02:56.0
23566979286,TRUE,01:36.0,-69.9685745,41.6467857,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-23,FALSE,G,OK,,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,419342.4384,4611013.527,19N,Greenwich Mean Time,01:36.0
23566979287,TRUE,00:16.0,-69.9714661,41.6423302,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-25,FALSE,G,OK,,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,419096.0652,4610521.57,19N,Greenwich Mean Time,00:16.0
23566979288,FALSE,41:52.0,-68.7207565,41.6455307,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-25,TRUE,E,Fail,,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,523254.1947,4610458.78,19N,Greenwich Mean Time,41:52.0
23566979289,TRUE,58:56.0,-69.9692154,41.6455307,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-25,FALSE,G,OK,,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,419287.5007,4610874.792,19N,Greenwich Mean Time,58:56.0
23569555717,FALSE,33:04.0,-69.9692154,41.6455307,,,,,,,,,,,,,,,,,,,,,,,,,,3D,14420,TRUE,E,Fail,0,4400,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,419287.5007,4610874.792,19N,Greenwich Mean Time,33:04.0
23566979290,TRUE,01:52.0,-69.97229,41.6215935,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-21,FALSE,G,OK,,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,419001.4923,4608220.08,19N,Greenwich Mean Time,01:52.0
23569555718,TRUE,01:52.0,-69.9853973,41.6215935,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-1000,FALSE,C,OK(corrected),,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,417909.5504,4608232.472,19N,Greenwich Mean Time,01:52.0
23569555719,FALSE,01:52.0,-69.9721832,41.6215935,,,,,,,,,,,,,,,,,,,,,,,,,50,3D,,TRUE,E,Fail,0,4400,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,419010.3896,4608219.979,19N,Greenwich Mean Time,01:52.0
23558468849,FALSE,05:20.0,-69.9816818,-202.697662,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-23,TRUE,E,Fail,,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,600830.4006,-1.25E+07,19S,Greenwich Mean Time,05:20.0
23569555720,TRUE,00:32.0,-69.9689636,41.6458359,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-14,FALSE,C,OK(corrected),,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,419308.8507,4610908.441,19N,Greenwich Mean Time,00:32.0
23573050002,FALSE,00:32.0,-69.9689636,41.8207359,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-14,TRUE,E,Fail,,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,419527.4728,4630326.804,19N,Greenwich Mean Time,00:32.0
23573050003,TRUE,00:32.0,-69.9689636,41.6458359,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-14,FALSE,G,OK,,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,419308.8507,4610908.441,19N,Greenwich Mean Time,00:32.0
23569555721,TRUE,59:12.0,-69.9685745,41.6464005,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-26,FALSE,G,OK,,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,419341.9579,4610970.761,19N,Greenwich Mean Time,59:12.0
23569555722,TRUE,02:08.0,-69.9713669,41.6422539,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-26,FALSE,C,OK(corrected),,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,419104.2312,4610513.006,19N,Greenwich Mean Time,02:08.0
23573050004,TRUE,02:08.0,-69.9713669,41.6422539,,,,,,,,,,,,,,,,,,,,,,,,,,3D,-26,FALSE,G,OK,,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,419104.2312,4610513.006,19N,Greenwich Mean Time,02:08.0
23603986402,FALSE,39:28.0,-106.722595,26.1916542,,,,,,,,,,,,,,,,,,,,,,,,,,2D,0,TRUE,E,Fail,,,gps,Calidris canutus,236445,FELG(9P>),Red Knot Fall MA Migration Study,327871.4629,2898050.905,13N,Greenwich Mean Time,39:28.0
