Parameter	Temp	pH	DO	DoSat	Conductivity 	Turbitity	Alkalinity	CO2	Ammonia	Nitrate 	Nitrite 	OrthoP
March	7	7.3	7	63	105	23	28	5	0.22	0	0.002	0.38
April	12	7.6	6.7	61	210	24	43	2	0.26	0	0.019	0.3
May	14	7	2.9	27	320	26	60	11	0.41	0.39	0.039	0.28
June	21	7	3.2	32	135	38	43	7	1.28	0.73	0.043	1.49
July	24	7.2	5.5	62	140	39	54	5	0.6	0.85	0.023	0.5
August	17	7	2.4	23	95	26	37	6	0.78	0.58	0.013	0.91
September	26	7.1	3.3	38	120	29	30	3	0.73	0.55	0.017	0.7
October	19	7.6	4.3	45	120	35	37	1	0.55	0.64	0.017	0.18
November	14	7	6	56	170	52	37	7	0.91	0.79	0.03	0.2
December	4	7.4	7.6	57	160	88	37	2	1.28	1.13	0.058	0.25
January	1	7.7	6.6	46	190	158	35	1	1.73	0.99	0.09	0.27
February	7	6.9	7.1	58	200	101	35	7	1.28	0.95	0.058	0.41
